18-08 (2)_19_10_24_21_37_51_36.jpg - distance:0.04084913137320414 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_37.jpg - distance:0.12536060950094313 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_38.jpg - distance:0.1961484485993374 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_39.jpg - distance:0.1961484485993374 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_40.jpg - distance:0.19184606556653588 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_41.jpg - distance:0.18826124231841415 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_42.jpg - distance:0.1627527683038296 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_43.jpg - distance:0.24567153427948268 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_44.jpg - distance:0.5199227202497669 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_45.jpg - distance:0.8126176248927268 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_46.jpg - distance:1.113234360102711 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_47.jpg - distance:1.4726747837987342 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_48.jpg - distance:2.0243157050309315 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_49.jpg - distance:2.4900151627038207 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_50.jpg - distance:3.0929477506586878 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_51.jpg - distance:3.589019994385276 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.779|-43.377
18-08 (2)_19_10_24_21_37_51_52.jpg - distance:4.153545045081976 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_53.jpg - distance:4.785151697437412 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_0.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_55.jpg - distance:0.6153639570243681 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_54.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_56.jpg - distance:0.8791564025002863 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_54.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_57.jpg - distance:1.2994517192225503 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_54.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_58.jpg - distance:1.7544940781007825 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_54.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_59.jpg - distance:2.120219639910942 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_54.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_60.jpg - distance:2.550680870689155 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_54.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_61.jpg - distance:3.136058465858784 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_54.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_62.jpg - distance:3.899408214319736 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_54.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_63.jpg - distance:4.550338745622536 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_54.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_64.jpg - distance:4.988059279143315 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_54.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_66.jpg - distance:0.9395236529687461 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_65.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_67.jpg - distance:1.8527120219822502 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_65.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_68.jpg - distance:2.6573607272173163 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_65.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_69.jpg - distance:3.559445452805891 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_65.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_70.jpg - distance:4.379807230773489 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_65.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_72.jpg - distance:1.0398452513954735 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_71.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_73.jpg - distance:1.5033415854607495 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_71.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_74.jpg - distance:2.356354180325138 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_71.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_75.jpg - distance:3.09469296801429 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_71.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_76.jpg - distance:3.817674157211121 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_71.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_77.jpg - distance:4.493528807592687 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_71.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_79.jpg - distance:0.4713005943260114 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_78.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_80.jpg - distance:1.4240864397319626 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_78.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_81.jpg - distance:1.9361462568615129 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_78.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_82.jpg - distance:2.4774042887185383 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_78.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_83.jpg - distance:2.989852731915884 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_78.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_84.jpg - distance:3.4622545285108224 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_78.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_85.jpg - distance:3.86872864417123 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_78.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_86.jpg - distance:4.3634869473149545 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_78.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_87.jpg - distance:4.874569795745846 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_78.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_89.jpg - distance:0.609213843870304 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_88.jpg | class:-22.780|-43.377
